years,area_id,unit_name,race,officer_cnt,officer_pct,civilian_cnt,community_pct,allegations_pc_val,total_num_officers
2009,1541,24TH,White,186,0.6714801444043321,60488,0.4288773238418015,0.0019852805626852338,277
2009,1541,24TH,Native American/Alaskan Native,3,0.010830324909747292,351,0.0024886909910804183,0.0019852805626852338,277
2009,1541,24TH,Hispanic,51,0.18411552346570398,29746,0.21090769863441058,0.0019852805626852338,277
2009,1532,25TH,Hispanic,139,0.3475,133005,0.6637274129077653,0.001896292747678289,400
2009,1532,25TH,White,225,0.5625,29371,0.14656845866331322,0.001896292747678289,400
2009,1532,25TH,Black,21,0.0525,33033,0.1648427324580445,0.001896292747678289,400
2009,1532,25TH,Native American/Alaskan Native,1,0.0025,214,0.0010679122315872468,0.001896292747678289,400
2009,1551,2ND,Hispanic,44,0.12256267409470752,3242,0.033969341673739245,0.004610274625677134,359
2009,1551,2ND,Black,241,0.6713091922005571,65993,0.6914678485734344,0.004610274625677134,359
2009,1551,2ND,Native American/Alaskan Native,1,0.002785515320334262,138,0.0014459497689623738,0.004610274625677134,359
2009,1551,2ND,White,64,0.17827298050139276,17747,0.18595123586793658,0.004610274625677134,359
2009,1535,3RD,Black,196,0.547486033519553,71010,0.9438426264371635,0.006140758955273476,358
2009,1535,3RD,Native American/Alaskan Native,1,0.002793296089385475,169,0.0022462949425134577,0.006140758955273476,358
2009,1535,3RD,Hispanic,63,0.17597765363128492,1123,0.014926563434571676,0.006140758955273476,358
2009,1535,3RD,White,95,0.26536312849162014,1472,0.019565361866152722,0.006140758955273476,358
2009,1536,4TH,Hispanic,85,0.23743016759776536,35381,0.286311956301841,0.004127048351203723,358
2009,1536,4TH,Black,88,0.24581005586592178,76399,0.6182399352619866,0.004127048351203723,358
2009,1536,4TH,White,180,0.5027932960893855,9925,0.08031559781509205,0.004127048351203723,358
2009,1540,5TH,Hispanic,34,0.09264305177111716,2524,0.03392655519113931,0.005228775740631217,367
2009,1540,5TH,White,124,0.33787465940054495,843,0.011331254368514437,0.005228775740631217,367
2009,1540,5TH,Black,204,0.555858310626703,70064,0.9417710629603742,0.005228775740631217,367
2009,1537,6TH,White,121,0.2936893203883495,312,0.0034345724947986043,0.0056031967943990044,412
2009,1537,6TH,Black,193,0.4684466019417476,88525,0.9745049041732258,0.0056031967943990044,412
2009,1537,6TH,Hispanic,90,0.21844660194174756,914,0.010061536090531809,0.0056031967943990044,412
2009,1534,7TH,Black,132,0.2926829268292683,68787,0.9678631227927003,0.006331696472541543,451
2009,1534,7TH,Hispanic,98,0.21729490022172948,1167,0.01642019951879107,0.006331696472541543,451
2009,1534,7TH,Native American/Alaskan Native,1,0.0022172949002217295,136,0.0019135793783681108,0.006331696472541543,451
2009,1534,7TH,White,209,0.4634146341463415,262,0.003686454390679743,0.006331696472541543,451
2009,1543,8TH,White,251,0.638676844783715,51491,0.20815125337041634,0.0019403896140645907,393
2009,1543,8TH,Black,23,0.058524173027989825,52219,0.21109417761841429,0.0019403896140645907,393
2009,1543,8TH,Hispanic,110,0.27989821882951654,139854,0.5653567689278943,0.0019403896140645907,393
2009,1543,8TH,Native American/Alaskan Native,1,0.002544529262086514,247,0.0009984921555707374,0.0019403896140645907,393
2009,1550,9TH,White,213,0.56951871657754,24307,0.14713591322086428,0.002554463956029322,374
2009,1550,9TH,Black,32,0.0855614973262032,19044,0.11527775255597726,0.002554463956029322,374
2009,1550,9TH,Hispanic,115,0.3074866310160428,94610,0.572696291184678,0.002554463956029322,374
2010,1548,10TH,White,127,0.3527777777777778,4300,0.036411980388338004,0.002472627505440627,360
2010,1548,10TH,Black,22,0.06111111111111111,39440,0.33397407128280254,0.002472627505440627,360
2010,1548,10TH,Hispanic,202,0.5611111111111111,73441,0.6218912213255654,0.002472627505440627,360
2010,1546,11TH,Hispanic,98,0.2519280205655527,8118,0.11519141811164402,0.008428640349632489,389
2010,1546,11TH,Native American/Alaskan Native,1,0.002570694087403599,73,0.0010358430059312655,0.008428640349632489,389
2010,1546,11TH,Black,64,0.16452442159383032,59671,0.846709424752391,0.008428640349632489,389
2010,1546,11TH,White,215,0.5526992287917738,1664,0.023611544683145556,0.008428640349632489,389
2010,1545,12TH,Black,42,0.1242603550295858,23039,0.18017658697573297,0.002408715169431215,338
